"","binomial","iucn.no","family","country","rule_of_law","deathrate","hdi","gdp","geog.range","fr.in.country","num.countries"
"1","allenopithecus nigroviridis",1,"cercopithecidae","republic of congo",-1.04,2.30358459332713,0.591,21.9713779140709,509751740445.673,0.753364328707703,0
"2","allocebus trichotis",3,"cheirogaleidae","madagascar",-0.69,1.91839212016142,0.51,22.0792084212875,43083484275.3532,1,0
"3","allochrocebus lhoesti",3,"cercopithecidae","burundi",-1.01723288083654,2.30415021359155,0.587558993637676,21.9861783600432,217463439651.84,0.00198768511985887,1.38629436111989
"4","allochrocebus preussi",4,"cercopithecidae","equatorial guinea",-0.979571821067818,2.34628992779971,0.513777708594997,23.7757490479747,17360792324.9727,0.0201314541922075,1.09861228866811
"5","allochrocebus solatus",3,"cercopithecidae","gabon",-0.54,2.57337529777561,0.684,22.4156847777278,12208034410.9039,1,0
"6","alouatta arctoidea",1,"atelidae","colombia",-1.8305319960232,1.67137783697232,0.75801329990058,25.2320577683096,409140645645.107,0.0946924154277865,0.693147180559945
"7","alouatta belzebul",3,"atelidae","brazil",-0.19,1.88858365386359,0.755,27.176036908884,872386273427.914,0.049161527047115,0
"8","alouatta caraya",1,"atelidae","argentina",-0.400815424364122,1.87235173836843,0.739783962131693,26.8725209647789,3080805434220.67,0.052580927494715,1.6094379124341
"9","alouatta discolor",3,"atelidae","brazil",-0.19,1.88858365386359,0.755,27.176036908884,378199528426.298,1,0
"10","alouatta guariba",1,"atelidae","argentina",-0.200737055601044,1.89042675043538,0.756418423610617,27.1634708204595,1081566286685.58,0.0175596135273739,1.09861228866811
"11","alouatta juara",1,"atelidae","colombia",-0.403881367011814,1.76941706337802,0.73490961966835,26.1946820406146,2353145796413.55,0.426719399516627,1.6094379124341
"12","alouatta macconnelli",1,"atelidae","colombia",-0.631624589191851,1.7924316605976,0.74449339902941,26.5321189037598,1774971775574.36,0.000309580762266245,1.94591014905531
"13","alouatta nigerrima",1,"atelidae","brazil",-0.19,1.88858365386359,0.755,27.176036908884,237676645337.45,0.0509168246334476,0
"14","alouatta palliata",1,"atelidae","panama",-0.541373522874264,1.6305338743139,0.693896956173521,24.6138852287693,570941973133.044,0.000881750773274997,2.30258509299405
"15","alouatta pigra",4,"atelidae","mexico",-0.632751326575214,1.65649189881315,0.717987587530216,26.3287627544299,241272798788.535,0.64324557893582,1.38629436111989
"16","alouatta puruensis",1,"atelidae","peru",-0.201748849900089,1.88594454514893,0.75420431229409,27.1471816695035,1051504345020.89,0.0286896023590198,1.09861228866811
"17","alouatta sara",1,"atelidae","peru",-1.13978041872793,1.87221608435553,0.663167072262723,22.9594015199524,343413624690.762,0.0148314410044651,1.09861228866811
"18","alouatta ululata",4,"atelidae","brazil",-0.19,1.88858365386359,0.755,27.176036908884,100202310293.123,1,0
"19","aotus azarae",1,"aotidae","peru",-0.465235140904395,1.8642933734517,0.727472810998569,26.7876302843806,3182012322055.54,0.00849447235767075,1.6094379124341
"20","aotus brumbacki",3,"aotidae","colombia",-0.313952767627362,1.68820560137894,0.720098819190684,25.2261583899109,124803420691.167,0.99764716212657,0.693147180559945
"21","aotus griseimembra",3,"aotidae","colombia",-0.578702716207307,1.685288298262,0.726717567905183,25.2271907578363,235593998731.751,0.84005790701946,0.693147180559945
"23","aotus lemurinus",3,"aotidae","colombia",-0.403078244924558,1.6815881515696,0.721618192802938,25.1390748073954,178333096828.118,0.877095014194778,1.09861228866811
"24","aotus miconax",3,"aotidae","peru",-0.53,1.79342474854712,0.734,24.6514585824742,59860182729.9451,1,0
